score_i-1,score_i,score_i+1,purity_i-1,purity_i,purity_i+1,review_score,review_purity
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3924516171835558,0.0,0.0,0.0075471464842991505,0.3924516171835558,0.0075471464842991505
0.0,0.3924516171835558,0.0,0.0,0.0075471464842991505,0.0,0.3924516171835558,0.0075471464842991505
0.3924516171835558,0.0,0.0,0.0075471464842991505,0.0,0.0,0.3924516171835558,0.0075471464842991505
0.0,0.0,0.0,0.0,0.0,0.0,0.3924516171835558,0.0075471464842991505
0.0,0.0,-0.03538480293897826,0.0,0.0,-0.0004423100367372283,-0.03538480293897826,-0.0004423100367372283
0.0,-0.03538480293897826,0.0,0.0,-0.0004423100367372283,0.0,-0.03538480293897826,-0.0004423100367372283
-0.03538480293897826,0.0,0.0,-0.0004423100367372283,0.0,0.0,-0.03538480293897826,-0.0004423100367372283
0.0,-0.6566822877548508,-0.0742943691503537,0.0,-0.005969838979589553,-0.0006349946081226812,-1.0505515827892453,-0.010140872941496824
-0.6566822877548508,-0.0742943691503537,0.0,-0.005969838979589553,-0.0006349946081226812,0.0,-1.0505515827892453,-0.010140872941496824
-0.0742943691503537,0.0,0.0,-0.0006349946081226812,0.0,0.0,-1.0505515827892453,-0.010140872941496824
0.0,0.0,0.0,0.0,0.0,0.0,-1.0505515827892453,-0.010140872941496824
0.0,0.0,-0.17374005381988075,0.0,0.0,-0.002118781144144887,-1.0505515827892453,-0.010140872941496824
0.0,-0.17374005381988075,-0.0742943691503537,0.0,-0.002118781144144887,-0.001031866238199357,-1.0505515827892453,-0.010140872941496824
-0.17374005381988075,-0.0742943691503537,0.002753866236547372,-0.002118781144144887,-0.001031866238199357,1.619921315616101e-05,-1.0505515827892453,-0.010140872941496824
-0.0742943691503537,0.002753866236547372,-0.0742943691503537,-0.001031866238199357,1.619921315616101e-05,-0.0004015911845965065,-1.0505515827892453,-0.010140872941496824
0.002753866236547372,-0.0742943691503537,0.0,1.619921315616101e-05,-0.0004015911845965065,0.0,-1.0505515827892453,-0.010140872941496824
-0.0742943691503537,0.0,0.0,-0.0004015911845965065,0.0,0.0,-1.0505515827892453,-0.010140872941496824
0.0,0.0,0.0,0.0,0.0,0.0,-1.0505515827892453,-0.010140872941496824
0.0,0.0,0.0,0.0,0.0,0.0,-1.0505515827892453,-0.010140872941496824
0.0,0.0,0.0,0.0,0.0,0.0,-0.18902321571919128,-0.0005151576587361018
0.0,0.0,0.0,0.0,0.0,0.0,-0.18902321571919128,-0.0005151576587361018
0.0,0.0,-0.0742943691503537,0.0,0.0,-0.0002570739416967256,-0.18902321571919128,-0.0005151576587361018
0.0,-0.0742943691503537,-0.0014696416744046596,0.0,-0.0002570739416967256,-6.998293687641236e-06,-0.18902321571919128,-0.0005151576587361018
