score_i-1,score_i,score_i+1,purity_i-1,purity_i,purity_i+1,review_score,review_purity,Sentiment
0.0,4.96009598512e-06,0.0,0.0,2.26488401147e-08,0.0,-0.0569719905825,-0.000460159364349,-1
4.96009598512e-06,0.0,-0.035384802939,2.26488401147e-08,0.0,-0.000315935740527,-0.0569719905825,-0.000460159364349,-1
0.0,-0.035384802939,0.000112477384392,0.0,-0.000315935740527,2.39313583814e-06,-0.0569719905825,-0.000460159364349,1
-0.035384802939,0.000112477384392,0.0,-0.000315935740527,2.39313583814e-06,0.0,-0.0569719905825,-0.000460159364349,1
0.000112477384392,0.0,0.0,2.39313583814e-06,0.0,0.0,-0.0569719905825,-0.000460159364349,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,-0.209124856759,0.0,0.0,-0.00201081593037,-0.0358898826383,-0.00210143687894,-1
0.0,-0.209124856759,0.000112477384392,0.0,-0.00201081593037,1.05119050834e-06,-0.0358898826383,-0.00210143687894,-1
-0.209124856759,0.000112477384392,0.0,-0.00201081593037,1.05119050834e-06,0.0,-0.0358898826383,-0.00210143687894,0
0.000112477384392,0.0,0.0,1.05119050834e-06,0.0,0.0,-0.0358898826383,-0.00210143687894,-1
0.0,0.0,0.166475401482,0.0,0.0,0.00208094251853,-0.0358898826383,-0.00210143687894,-1
0.0,0.166475401482,0.166475401482,0.0,0.00208094251853,0.00205525187015,-0.0358898826383,-0.00210143687894,0
0.166475401482,0.166475401482,-0.0171288067003,0.00208094251853,0.00205525187015,-7.61280297793e-05,-0.0358898826383,-0.00210143687894,0
0.166475401482,-0.0171288067003,-0.17374005382,0.00205525187015,-7.61280297793e-05,-0.00496400153771,-0.0358898826383,-0.00210143687894,-1
-0.0171288067003,-0.17374005382,-0.00306409740278,-7.61280297793e-05,-0.00496400153771,-6.96385773359e-05,-0.0358898826383,-0.00210143687894,0
